KATEGORI;NAMN;ADRESS;HEMSIDA;Kategori webb;Exportdatum;geo_shape;geo_point_2d
Snabbmat;Rak Thai Restaurang;Järnvägsgatan 14;;Snabbmat;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.694847944248254, 56.04396839696376]}";56.043968397,12.6948479442
Snabbmat;Råå Pizzeria;Rååvägen 35A;http://www.xn--rpizzeria-52aa.se/;Snabbmat;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.739459257385962, 55.99977445126565]}";55.9997744513,12.7394592574
Snabbmat;Sydhamnsgatans Kiosk Ab Sibylla;Sydhamnsgatan 8;;Snabbmat;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.707700238916667, 56.02932472087768]}";56.0293247209,12.7077002389
Vårdverksamheter;Café Kronan/ Boendet Kronan;Grenadjärgatan 17;;Vårdverksamheter;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.708485507504609, 56.06226118535207]}";56.0622611854,12.7084855075
Vårdverksamheter;Haga matservering;Grönkullagatan 41;;Vårdverksamheter;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.724914159772833, 56.062811187086105]}";56.0628111871,12.7249141598
Vårdverksamheter;Haga Trygghetsboende;Minörgatan 8;http://www.hagatrygghet.se/sv/valkommen;Vårdverksamheter;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.726870381618344, 56.060313080239304]}";56.0603130802,12.7268703816
Vårdverksamheter;Lss Dv Öresundsboden;Karlsgatan 3;;Vårdverksamheter;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.697572590703842, 56.04490160465133]}";56.0449016047,12.6975725907
Butiker;Ica Maxi Stormarknad;Regementsvägen 7;;Butiker;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.71969055873556, 56.06538479016644]}";56.0653847902,12.7196905587
Butiker;Lw-design, Bageri Bakluckan;Ormastorps Skolväg 74;https://lwdesign.se/index.html;Butiker;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.90826851513168, 55.96870462860935]}";55.9687046286,12.9082685151
Butiker;Mors Kakeri Bageri;Allmänningsgatan 10;http://morskakeri.se/;Butiker;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.735239115931531, 56.02986250523581]}";56.0298625052,12.7352391159
